,BLOCK_E,BLOCK_N,batch_size,seq_len,hidden_dim,normal_decode_ms,dense_bmm_ms,cusparse_decode_ms,cusparse_kernel_ms,triton_decode_ms,triton_kernel_ms
0,32,32,1,128,768,0.6850559711456299,4248.576,168.93951416015625,171212.799,6397.18994140625,6399177.734
1,32,32,4,128,768,1.8320000171661377,2787.328,8.00767993927002,9096.192,4439.11572265625,4440139.648
2,32,32,8,128,768,3.353600025177002,4208.64,4.753407955169678,5551.104,8.236031532287598,9032.704
3,32,32,16,128,768,6.250495910644531,7033.856,9.23136043548584,10028.032,17.389568328857422,18215.937
4,32,32,32,128,768,12.378111839294434,13328.384,18.163711547851562,19106.815,31.98054313659668,32904.194
5,32,32,64,128,768,24.619007110595703,25454.592,35.26655960083008,36039.68,72.72959899902344,73520.126
6,32,32,128,128,768,47.32108688354492,48139.328,75.9019546508789,76785.667,4351.63330078125,4353875.977
7,32,32,256,128,768,92.12210845947266,93070.335,147.35052490234375,148131.836,373.68115234375,374643.677
8,32,128,1,128,768,0.694271981716156,2523.136,180.5076446533203,182019.073,8371.283203125,8372643.555
9,32,128,4,128,768,1.8165760040283203,2577.408,8.003583908081055,8879.104,3051.482177734375,3052291.016
10,32,128,8,128,768,3.407871961593628,4303.872,4.750336170196533,5607.424,1.8862080574035645,2654.208
11,32,128,16,128,768,6.240255832672119,7123.968,9.266176223754883,10056.704,3.580928087234497,4425.728
12,32,128,32,128,768,12.384256362915039,13144.064,18.22310447692871,19016.705,6.288383960723877,7024.64
13,32,128,64,128,768,24.614912033081055,25438.208,35.06687927246094,35884.033,11.592703819274902,12394.496
14,32,128,128,128,768,47.250431060791016,48000.0,72.36402893066406,73181.183,4582.8896484375,4583718.75
15,32,128,256,128,768,92.30540466308594,93109.245,147.76319885253906,148627.457,44.093441009521484,45044.769
16,32,256,1,128,768,0.694271981716156,1969.152,171.4134979248047,172749.817,10351.474609375,10352511.719
17,32,256,4,128,768,1.8350080251693726,2722.848,7.694272041320801,8536.064,6196.92724609375,6197815.43
18,32,256,8,128,768,3.3505280017852783,4128.704,4.782080173492432,5702.656,1.136639952659607,1778.688
19,32,256,16,128,768,6.258687973022461,6992.896,9.333791732788086,10170.368,1.8708479404449463,2627.584
20,32,256,32,128,768,12.369919776916504,13176.832,18.283519744873047,19080.256,3.481600046157837,4240.384
21,32,256,64,128,768,24.633344650268555,25504.768,39.133182525634766,40001.537,6.758399963378906,7638.016
22,32,256,128,128,768,47.53411102294922,48428.032,76.01254272460938,76797.951,4343.40478515625,4344271.973
23,32,256,256,128,768,95.4787826538086,96902.176,150.14501953125,151032.837,23.969791412353516,24981.504
24,128,32,1,128,768,0.6963520050048828,2017.248,143.65696716308594,144888.824,18290.533203125,18291781.25
25,128,32,4,128,768,1.8380800485610962,2762.752,6.765567779541016,7749.568,10705.5576171875,10706768.555
26,128,32,8,128,768,3.3832640647888184,4217.856,5.378047943115234,6202.368,6.4040961265563965,7134.208
27,128,32,16,128,768,6.244351863861084,6973.44,9.293824195861816,10198.016,23.475200653076172,24291.328
28,128,32,32,128,768,12.37606430053711,13245.44,18.465791702270508,19334.145,53.48659133911133,54377.472
29,128,32,64,128,768,22.50351905822754,23340.033,37.106689453125,37947.392,112.93798065185547,113852.386
30,128,32,128,128,768,46.78246307373047,47592.449,72.79411315917969,73593.857,9188.1318359375,9189353.516
31,128,32,256,128,768,91.83238220214844,93000.702,152.3814697265625,153424.896,509.623291015625,510601.227
32,128,128,1,128,768,0.6799359917640686,2134.016,193.69984436035156,194999.298,11844.8349609375,11846296.875
33,128,128,4,128,768,1.8309119939804077,2619.392,6.549503803253174,7449.6,9928.3056640625,9929381.836
34,128,128,8,128,768,3.382240056991577,4446.208,5.364736080169678,6365.216,1.8851840496063232,2692.096
35,128,128,16,128,768,6.251520156860352,7052.288,9.245696067810059,10071.008,5.819392204284668,6659.072
36,128,128,32,128,768,12.377087593078613,13267.008,18.19647979736328,19078.144,12.80303955078125,13643.776
37,128,128,64,128,768,23.035968780517578,23899.136,35.16624069213867,36040.703,29.063167572021484,30358.528
38,128,128,128,128,768,47.150081634521484,48017.406,73.5068130493164,74427.391,11981.1455078125,11982351.562
39,128,128,256,128,768,92.88703918457031,93818.817,151.42604064941406,152261.627,119.25299072265625,120333.313
40,128,256,1,128,768,0.6778879761695862,3548.16,155.615234375,156880.89,17014.47265625,17015755.859
41,128,256,4,128,768,1.8360320329666138,2821.152,6.5423359870910645,7572.512,10333.466796875,10334264.648
42,128,256,8,128,768,3.3853440284729004,4212.736,5.3442559242248535,6049.792,1.1960320472717285,2028.544
43,128,256,16,128,768,6.252543926239014,7047.2,9.416704177856445,10161.152,3.3771519660949707,4205.568
44,128,256,32,128,768,12.35968017578125,13170.688,18.393056869506836,19234.816,5.929984092712402,6697.984
45,128,256,64,128,768,24.625152587890625,25438.208,36.43289566040039,37168.095,10.066944122314453,10866.688
